    Send    	    发送    
Collapse	折叠
Collapse all	全部折叠
Collapse branch	折叠分支
Columns	列
Combined view	组合视图
Comment	注释
Comment this item	注释此项目
Comment:	注释:
Comments	注释
Comments search \| (https?://.*)	注释搜索 | $1
Comments:	注释:
Compare ...	比较 ...
Compare responses	响应比较
Compare site map	站点地图比较
Compare site maps	站点地图比较
Comparer	比较器
Comparing site maps: ([0-9]+)% complete	站点地图比较: $1% 完成
Compression	压缩
Computing differences	计算差异
Concatenate to single file	连接到单个文件
Concurrent request limit:	并发请求限制:
Concurrent requests	并发请求
Condition	条件
Confidence	精度
Config	设置
configuration	设置
Configuration "(.*)" has the same name as a built-in configuration.	设置"$1"名称与内置配置相同。
Configuration "(.*)" is already present in the library.	配置"$1"已经存在于库中。
Configuration exported successfully.	已成功导出配置。
Configuration File Error	配置文件错误
Configuration imported successfully.	已成功导入配置。
Configuration library	配置库
Configuration name:	配置名称:
Configuration saved successfully.	已成功保存配置。
Configuration:	配置:
Configure	设置
Configure hotkeys	设置热键
Configure how cookies and request parameters are handled for this macro item.	设置如何处理这个宏项目中的cookie和请求参数。
Configure item	项目设置
Configure Macro Item	宏项目设置
Configure Macro Item: ([A-Z]+) request to (https?://.*)	宏项目设置: $2 到 $1 请求
Configure predefined payload lists	编辑预定义的有效载荷列表
Configure REST API URL	REST API的URL设置
Configure target details	设置目标的详细信息
Configure the details of the custom parameter location. You need to specify the name that is used for this parameter in subsequent macro requests, and the location within this response from which the parameter's value should be derived.	设置自定义参数位置的详细信息。您必须指定在后续宏请求中使用此参数时的名称，以及在响应中作为参数值检索的位置。
Configure the details of the target for the attack.	请设置攻击目标的详细信息。
Configure the location of the items that Burp Intruder should use for its predefined payload lists.	Burp Intruder设置要使用的预定义有效载荷列表的位置
Configure the options below to determine how Burp handles certain features of responses when performing comparisons.	在执行比较时，请设置以下选项，说明Burp如何处理响应的每个特征
Configure the positions where payloads will be inserted into the base request. The attack type determines the way in which payloads are assigned to payload positions - see help for full details.	设置有效载荷插入到基本请求中的位置。攻击类型指定有效载荷如何分配给有效载荷位置。 - 有关详细信息，请参阅帮助。
Configure the positions where payloads will be inserted, they can be added into the target as well as the base request.	配置将插入有效负载的位置，它们可以添加到目标以及基本请求中。
Configure the selected item	设置所选项目
Configure the settings for the custom token location	令牌位置的自定义设置
Configure the sources Burp should use for generating filenames to test.	设置Burp应用于生成要测试的文件名的源。
Confirm	确认
Connect	连接
Connect:	连接:
Connected	已连接
Connecting...	连接中...
Connection closed during request sequence	在请求序列中关闭连接
Connection failed	连接失败
Connections	连接
consecutive audit checks fail, skip remaining checks in the current insertion point	连续审计检查失败，请跳过当前插入点中的剩余检查
consecutive audit items fail	连续审计项目失败
consecutive insertion points fail, skip remaining insertion points, and flag audit item as failed	如果位置插入点失败，则跳过其余插入点，并将审计项目标记为失败
consecutive requests time out	连续请求超时
Consider unloading some extensions	考虑卸载一些扩展
Consolidate frequently occurring passive issues	整合频繁发生的被动问题
Consolidate items	整合项目...
Consolidate items...	整合项目...
Consolidation	合并
Consolidation success threshold:	整合成功阈值:
Construct string	构造字符串
Construct string in JavaScript	JavaScript中构造字符串
Construct string in Microsoft SQL Server	Microsoft SQL Server中构造字符串
Construct string in MySQL	MySQL中构造字符串
Construct string in Oracle	Oracle中构造字符串
Contacting License Server	正在连接到许可证服务器
Contains parameters	包含参数
Content discovery: (https?://.*)	内容探索: $1
Content type header	内容类型标头
Content type incorrectly stated(\s+\[[0-9]+\])?	内容类型不正确$1
Content type is not specified(\s+\[[0-9]+\])?	未指定内容类型$1
Contents	内容
Continue	继续
Continue attack in background	在后台继续攻击
Continue indefinitely	无限地重复
Continue my attack in the background	在后台继续攻击
Control	控制
Convert HTTPS links to HTTP	将HTTPS链接转换为HTTP
Convert selection	转换所选位置
Convert to JavaScript constructed string	转换为JavaScript语法的字符串
Convert to Microsoft SQL Server constructed string	转换为Microsoft SQL Server语法的字符串
Convert to MySQL constructed string	转换为MySQL语法的字符串
Convert to Oracle constructed string	转换为Oracle语法的字符串
Converted text	转换文本
Cookie handling	cookie处理
Cookie jar	Cookie Jar
Cookie jar viewer	cookie jar查看器
Cookie manipulation \(DOM-based\)(\s+\[[0-9]+\])?	Cookie操作(基于DOM)$1
Cookie manipulation \(reflected DOM-based\)(\s+\[[0-9]+\])?	Cookie操作(基于DOM反射型)$1
Cookie manipulation \(stored DOM-based\)(\s+\[[0-9]+\])?	Cookie操作(基于DOM存储型)$1
Cookie name	cookie名称
Cookie parameter values	Cookie参数值
Cookie scoped to parent domain(\s+\[[0-9]+\])?	父域范围内的cookie$1
Cookie to body	cookie到body
Cookie to URL	Cookie到URL
Cookie value	cookie值
Cookie without HttpOnly flag set(\s+\[[0-9]+\])?	未设置HttpOnly标志的cookie$1
Cookie:	cookie:
Cookies	Cookie
Cookies received	接收cookie
Copy	复制
Copy ...	复制 ...
Copy as curl command	复制为curl命令
Copy attack config	复制攻击设置
Copy Burp's built-in payload lists to the selected directory	将Burp的内置有效载荷列表复制到选定的目录
Copy Clickbandit to clipboard	将Clickbandit复制到剪贴板
Copy configuration from first tab	从第一个选项卡复制设置
Copy configuration from last tab	从最后一个选项卡复制设置
Copy content from suite site map	从站点地图复制内容
Copy details	复制详细信息
Copy from position:	复制源位置:
Copy HTML	复制HTML
Copy item	复制项目
Copy key to clipboard	复制密钥到剪贴板
Copy link	复制链接
Copy links	复制链接
Copy links in selected items	复制选定项目的链接
Copy links in selection	复制选定的链接
Copy links in this branch	复制此分支的链接
Copy links in this host	复制此主机的链接
Copy name	复制名称
Copy other payload	复制其他有效载荷
Copy project	复制项目
Copy request	复制请求
Copy selected character	复制选定的字符
Copy selected hex code	复制所选十六进制代码
Copy selected hex codes	复制所选十六进制代码
Copy selected text	复制选定的文本
Copy selected URLs	复制选定的URL
Copy to clipboard	复制到剪贴板
Copy to file	复制到文件中
Copy tokens	复制令牌
Copy URL	复制网址
Copy URLs	复制URL
Copy URLs in this branch	复制此分支的URL
Copy URLs in this host	复制此主机的URL
Copy value	复制值
Correlation	相关
Could not create file: (.*)	无法创建文件: $1
Could not create new HTTP/2 connection	无法创建新的HTTP/2连接
Could not load configuration from (.*)	无法从 $1 加载配置
Could not obtain lock on file: (.*)	无法获得锁定的文件: $1
Count	计数
Crawl	爬行
Crawl and audit	爬行和审计
Crawl and Audit - Lightweight	抓取和审计 - 轻量级
Crawl and audit of (.*)	$1爬行和审计
Crawl finished	爬行完成
Crawl finished.	爬行完成.
Crawl Limits	爬行限制
Crawl Optimization	爬行优化
Crawl Project Option Overrides	抓取项目选项覆盖
Crawl started.	爬行开始。
Crawl strategy tuning	爬行策略调整
Crawl strategy:	爬行策略:
Crawl using my provided logins only	只使用我提供的登录信息进行爬行
Crawler Settings	爬行设置
Crawling	爬行
Crawling modern applications is sometimes an open-ended exercise, due to the amount of stateful functionality, volatile content, and unbounded navigation. Burp's crawler uses various techniques to maximise discovery of unique content early in the crawl. These settings let you impose a limit on the extent of the crawl, as it reaches the point of diminishing returns. You can leave any crawl limit setting blank to disable it.	由于有状态的功能，不稳定的内容和无限的导航，最新的应用爬行可能是无止境的。Burp爬虫使用不同的方法，试图在爬行的早期阶段最大限度地发现独特的内容。这些设置会限制爬行范围。将爬行限制保留为空白，即可禁用。
Create	创建
Create a new rule	创建新规则
Create New Folder	新建文件夹
Create new group	创建新组
Create new resource pool	创建新的资源池
Create new task	创建新任务
Create new tasks paused	创建暂停状态的任务
Create new tasks running	创建运行状态的任务
Create tab group	创建标签组
Created	创建
Credit card numbers disclosed(\s+\[[0-9]+\])?	信用卡号码泄漏$1
Critical	严重
Cross-domain POST(\s+\[[0-9]+\])?	跨域POST$1
Cross-domain Referer leakage(\s+\[[0-9]+\])?	跨域Referer泄漏$1
Cross-domain script include(\s+\[[0-9]+\])?	跨域脚本包含$1
Cross-domain XHR (modern browsers only)	跨域XHR(仅限最新浏览器)
Cross-origin resource sharing(\s+\[[0-9]+\])?	跨源资源共享$1
Cross-origin resource sharing: all subdomains trusted(\s+\[[0-9]+\])?	跨源资源共享: 信任所有子域$1
Cross-origin resource sharing: arbitrary origin trusted(\s+\[[0-9]+\])?	跨源资源共享: 信任任何来源$1
Cross-origin resource sharing: unencrypted origin trusted(\s+\[[0-9]+\])?	跨源资源共享: 信任未加密源$1
Cross-site request forgery(\s+\[[0-9]+\])?	跨站请求伪造$1
Cross-site scripting \(DOM-based\)(\s+\[[0-9]+\])?	跨站脚本攻击(基于DOM)$1
Cross-site scripting \(reflected DOM-based\)(\s+\[[0-9]+\])?	跨站脚本攻击(基于DOM反射型)$1
Cross-site scripting \(reflected\)(\s+\[[0-9]+\])?	跨站脚本攻击(反射型)$1
Cross-site scripting \(stored DOM-based\)(\s+\[[0-9]+\])?	跨站脚本攻击(基于DOM存储型)$1
Cross-site scripting \(stored\)(\s+\[[0-9]+\])?	跨站脚本攻击(存储型)$1
CSRF PoC generator	CSRF PoC生成器
CSRF PoC generator documentation	CSRF PoC生成器文档
CSRF technique:	CSRF技术:
CSS injection \(reflected\)(\s+\[[0-9]+\])?	CSS注入(反射型)$1
CSS injection \(stored\)(\s+\[[0-9]+\])?	CSS注入(存储型)$1
Current Action	当前动作
Current auditing configuration	当前审计设置
Current live passive crawling configuration	当前实时被动爬行设置
Current project file selected	当前已选择项目文件
Currently auditing: (.*)	目前正在进行审计: $1
Currently crawling: (.*)	目前正在抓取: $1
Custom	自定义
Custom directory list:	自定义目录列表:
Custom file list:	自定义文件列表:
Custom iterator	自定义迭代
Custom location:	自定义位置:
Custom parameter locations in response	响应中的自定义参数位置
Custom scope	自定义范围
Custom scope: Pasted value is not a valid URL	自定义范围: 粘贴的值不是有效的URL
Custom:	自定义:
Customize crawl strategy (use with caution)	自定义爬行策略(谨慎使用)
Customize User-Agent	自定义User-Agent
Cut	剪切
Dashboard	仪表盘
Data	数据
Database connection string disclosed(\s+\[[0-9]+\])?	数据库连接字符串泄漏$1
Dates	日期格式
Day rate:	日給:
Days	日
Debug	调试
Debug ID:	调试ID:
December	12月
Decimal	小数
Decode	解码
Decode as ...	解码 ...
Decode as ASCII hex	ASCII十六进制解码
Decoded from:	解码:
DECODED FROM:	解码自:
Decoder	解码器
Deduplicate	重复数据删除
Deduplication	排除重复
Deep	深度
Default behavior when loading project files	加载项目文件时的默认行为
Default configuration	默认设置
Default Inspector panel layout	默认的Inspector面板布局
Default Proxy interception state	默认的代理拦截状态
Default tab group	默认标签组
Default to HTTP/2 if the server supports it	如果服务器支持，默认为HTTP/2
Default to the above in future	以后默认为上述值
Default to this option in future	以后默认使用此选项
Define behavior dependent on session validity:	定义依赖于会话有效性的行为:
Define Custom Parameter	自定义参数定义
Define custom token location	定义自定义令牌位置
Define extract grep from response	定义从响应中提取grep
Define extract grep item	定义提取grep项目
Define start and end	定义开始和结束
Define the in-scope targets for your current work. This configuration affects the behavior of tools throughout the suite. The easiest way to configure scope is to browse to your target and use the context menus in the site map to include or exclude URL paths.	在当前工作中定义范围内的目标。此设置会影响整个工具的行为。在浏览器中引用目标，并在站点地图的上下文菜单中包含或排除URL路径，可简化范围设置。
Define the location of the item to be extracted. Selecting the item in the response panel will create a suitable configuration automatically. You can also modify the configuration manually to ensure it works effectively.	定义要提取的项目的位置。在响应面板中选择项目时，会自动创建相应的设置。您还可以手动更改设置，以便有效地工作。
Define the location of the parameter value. Selecting the item in the response panel will create a suitable configuration automatically. You can also modify the configuration manually to ensure it works effectively.	定义参数值的位置。在响应面板中选择项目时，会自动创建相应的设置。您还可以手动更改设置，以便有效地工作。
Define the location of the token within the response. Selecting the item in the response panel will create a suitable configuration automatically. You can also modify the configuration manually to ensure it works effectively.	定义响应中令牌的位置。在响应面板中选择项目时，会自动创建相应的设置。您还可以手动更改设置，以便有效地工作。
Define the start directory for the content discovery session, and whether files or directories should be targeted.	定义发起内容搜索会话的目录和目标文件或目录。
Define the URLs to scan. Burp will begin crawling from these URLs, and by default will include everything beneath the specified URLs' folders.	定义要扫描的URL。Burp从这些URL开始爬行，默认情况下，它包含指定URL文件夹以下的所有内容。
Define which items are processed by the live scan, based on their URL.	根据URL定义实时扫描处理的项目。
Define which items are processed by the live task, based on their URL.	根据URL定义要在实时任务中处理的项目。
Delay between requests	请求之间的延迟
Delay between requests:	请求之间的延迟:
Delay increment	延迟增量
Delete	删除
Delete backup file on clean shutdown of Burp	在Burp正常结束时删除备份文件
Delete branch	删除分支
Delete byte	删除字节
Delete bytes ...	删除多个字节 ...
Delete cells	删除单元格
Delete host	删除主机
Delete issue	删除问题
Delete issues	删除问题
Delete issues for selected branches	删除所选分支中的问题
Delete issues for this branch	删除此分支中的问题
Delete issues for this host	删除此主机的问题
Delete item	删除项目
Delete last byte	删除最终字节
Delete my attack	删除攻击
Delete old temporary files?	可以删除旧的临时文件吗？
Delete selected byte	删除选定字节
Delete selected bytes	删除选定字节
Delete selected issues	删除选定问题
Delete selected items	删除选定项目
Deleted directory: (.*)	删除目录: $1
Deleting Burp executable.	正在删除Burp执行程序。
Deleting Burp license key.	正在删除Burp许可证密钥。
Deleting license key.	正在删除许可证密钥。
Deleting saved preferences.	正在删除保存的设置。
Deleting temporary files.	正在删除临时文件。
Delimiter:	分隔符:
Denial of service \(DOM-based\)(\s+\[[0-9]+\])?	拒绝服务(基于DOM)$1
Denial of service \(reflected DOM-based\)(\s+\[[0-9]+\])?	拒绝服务(基于DOM反射型)$1
Denial of service \(stored DOM-based\)(\s+\[[0-9]+\])?	拒绝服务(基于DOM存储型)$1
Derivations based on discovered items	根据检测到的项目派生
Derived parameters	派生参数
Description	详细
Description:	详细:
Destination host	目标主机
Destination host is not valid	目标主机无效
Destination host, may include wildcards	目标主机, 可以包括通配符
Destination host:	目标主机:
Destinations	目的地
Detach (.*)	独立窗口运行 $1
Detail	详细
Detailed scope configuration	详细的范围设置
Details	详细
details and features of HTTP	HTTP的详细信息和功能
Detect custom "not found" responses	检测自定义"not found"响应
Detection methods	检测方法
Detection methods: (.*)	检测方法: $1
Diagnostics	诊断
Diff count	差异计数
Direction	方向
Directories - long	目录 - 长
Directories - short	目录 - 短
Directories / files . extensions	目录/文件。扩展名
Directories only	仅目录
Directory listing(\s+\[[0-9]+\])?	目录遍历$1
Directory:	目录:
Disable extensions	禁用扩展
Disable interception	禁用拦截功能
Disable Java SNI extension (requires restart)	禁用Java SNI扩展(需要重新启动)
Disable line wrap	禁用换行
Disable line wrapping	禁用换行
Disable SSL session resume	禁用SSL会话恢复
Disable TLS session resume	禁用TLS会话恢复
Disable web interface at http://burp	http://burp 禁用Web界面
Disable web interface at http://burpsuite	http://burpsuite 禁用Web界面
Discard	丢弃
Discard all	丢弃所有
Discard items without responses	丢弃没有响应的项目
Disconnect	断开
Discover content	内容探索
Discover:	探索:
Discovered destinations group size:	发现的目标组大小:
Discovered PKCS#11 library files are shown below. Select the library file for your device and click "Next".	检测到的PKCS#11库文件如下所示：选择设备的库文件，然后单击“下一步”。
Discovering hidden content. Estimating time remaining...	隐藏内容的探索. 剩下的时间估计中...
Discovering hidden content. Less than ([0-9]+)m estimated time remaining.	发现隐藏内容。估计剩余时间小于$1分钟。
Discovering hidden content. Less than ([0-9]+)m maximum time remaining.	发现隐藏内容。最大剩余时间小于$1分钟。
Discovering hidden content\. ([0-9]+)s estimated time remaining	隐藏内容的探索. 估计剩余时间$1秒
Discovery Engine	探索引擎
Discovery Session Status	探索会话状态
Disk \(project\): ([0-9.]+)([KMGT])?B	磁盘(项目): $1$2B
Disk \(temp\): ([0-9.]+)([KMGT])?B	磁盘(临时): $1$2B
Disk: (.*)	磁盘: $1
Dismiss warning	解除警告
Display	显示
Display actions	显示动作
Display as raw bytes	显示为原始字节
Display mode	显示模式
DNS query	DNS查询
Do a passive scan	执行被动扫描
Do active scan	执行主动扫描
Do an active scan	执行主动扫描
Do DNS lookups over SOCKS proxy	通过SOCKS代理执行DNS查找
Do illegal hex	不正确的十六进制
Do illegal UTF-8	不正确的UTF-8
Do intercept	执行拦截
Do not include Burp Collaborator identifier in the project file	不在项目文件中包含Burp Collaborator标识符
Do not include Burp Collaborator identifier in the state file	在状态文件中不包含Burp Collaborator标识符
Do not include requests	不包括请求
Do not include responses	不包括响应
Do not save	不保存
Do not take full ownership of the project	不取得项目的完全所有权
Do nothing	我什么都不做
Do passive scan	执行被动扫描
Do platform authentication	执行平台身份验证
Do you want Intruder to continue	你想让Intruder继续吗
Do you want to include Dashboard data in your project file?	你想在你的项目文件中包括仪表盘数据吗？
Do you want to include the Collaborator identifier in your project file?	你想在你的项目文件中包括协作者标识符吗？
Do you want to save this attack?	你要保存这个攻击吗?
Do you want to start Burp without loading any extensions?	您想在不加载任何扩展的情况下启动Burp吗?
Do you wish to continue?	你要继续吗？
Dock	Dock
Dock on the left	Dock任务栏停靠左边
Dock on the right	Dock任务栏停靠右边
Document domain manipulation \(DOM-based\)(\s+\[[0-9]+\])?	文档域操作(基于DOM)$1
Document domain manipulation \(reflected DOM-based\)(\s+\[[0-9]+\])?	文档域操作(基于DOM反射型)$1
Document domain manipulation \(stored DOM-based\)(\s+\[[0-9]+\])?	文档域操作(基于DOM存储型)$1
Does not contain parameters	不包含参数
Does not match	不匹配
Doing bit compression test	位压缩测试
Doing bit correlation test	位相关测试
Doing bit correlation test: bit ([0-9]+)	位相关测试: 比特$1
Doing character set tests	字符集测试
Doing character set tests: position ([0-9]+)	字符集测试:　$1位置
Doing FIPS long run test	FIPS 长时间运行测试
Doing FIPS monobit test	FIPS 一维度数检定运行中
Doing FIPS poker test	FIPS 扑克测试
Doing FIPS runs test	FIPS 运行测试
Doing spectral tests	光谱测试
Doing spectral tests: bit ([0-9]+)	光谱测试: 比特$1
DOM data manipulation \(DOM-based\)(\s+\[[0-9]+\])?	DOM数据操作(基于DOM)$1
DOM data manipulation \(reflected DOM-based\)(\s+\[[0-9]+\])?	DOM数据操作(基于DOM反射型)$1
DOM data manipulation \(stored DOM-based\)(\s+\[[0-9]+\])?	DOM数据操作(基于DOM存储型)$1
Domain	域名
Domain hostname	域名主机名
Domain hostname:	域名主机名:
Domain name	域名名称
Domain name resolution:	域名名称解析方案:
Domain:	域名:
Don't ask again for this server	不再请求此服务器
Don't compare non-text content	不比较非文本内容
Don't intercept requests	不拦截的请求
Don't intercept responses	不拦截响应
Don't perform static code analysis	不执行静态代码分析
Don't restore	不恢复原状
Don't scan	不扫描
Don't send items to Proxy history or live tasks	不会将项目发送到Proxy历史记录或实时任务
Don't send items to Proxy history or live tasks, if out of scope	如果超出范围，则不会将项目发送到Proxy的历史记录或实时任务
Don't send items to Proxy history or other Burp tools	不将项目发送到Proxy历史记录或其他Burp工具
Don't send items to Proxy history or other Burp tools, if out of scope	如果超出范围，则不会将项目发送到Proxy历史记录或其他Burp工具
Don't show again for this JRE	不要再显示此JRE
Don't show again for this version	不再显示此版本
Don't show again for:	不再显示:
Don't show this again	不再显示此内容
Don't show this again in the future	下次以后不显示这个
Don't submit forms	不发送表单
Don't submit login forms	不发送登录表单
Don't use Burp Collaborator	不使用Burp Collaborator
Done	完成
Down	向下
Download	下载
Download (JRuby|Jython)	下载$1
Download Extension	下载扩展
Download failed.	下载失败。
Download other installers	下载其他安装程序
Downloading update	正在下载更新
Downloading( \([0-9]+%\))?	正在下载中$1
Drop	丢弃
Drop all out-of-scope requests	丢弃范围之外的所有请求
Duplicate	复制
Duplicate configuration	复制设置
Duplicate cookies set(\s+\[[0-9]+\])?	重复cookie$1
Duplicate hotkeys are configured	热键设置重复
Duplicate the selected item	复制所选项目
Duplicate the selected macro	复制选定的宏
Duplicate the selected rule	复制所选规则
Dynamic analysis	动态分析
Dynamic update	动态更新
Dynamic URLs	动态URL
Each Burp project has a unique identifier that is used to track any Burp Collaborator interactions that are associated with the project. You need to decide whether to include this identifier in your new project file.	每个Burp项目都有一个唯一的标识符，用于标识与绑定到项目的Burp Collaborator的通信。您必须决定是否将此标识符保存到新项目文件中。
Each Burp project has a unique identifier that is used to track any Burp Collaborator interactions that are associated with the project. You need to decide whether to save this identifier in your state file.	每个Burp项目都有一个唯一的标识符，用于标识与绑定到项目的Burp Collaborator的通信。您必须决定是否将此标识符保存在状态文件中。
Each Burp project has a unique identifier that tracks any associated Burp Collaborator interactions. If you include this identifier in your saved file, then the project will request ongoing Collaborator interactions.	每个Burp项目都有一个独特的标识符，用于跟踪任何相关的Burp协作者互动。如果你在保存的文件中包括这个标识符，那么该项目将要求持续的协作者互动。
Each installation of Burp generates its own CA certificate that Proxy listeners can use when negotiating SSL connections. You can import or export this certificate for use in other tools or another installation of Burp.	每次安装Burp时都会生成自己的CA证书，并在Prokisilisner建立SSL连接时使用。此证书可以导入和导出，并且可以用于安装在其他工具或其他机器上的Burp。
Each installation of Burp generates its own CA certificate that Proxy listeners can use when negotiating TLS connections. You can import or export this certificate for use in other tools or another installation of Burp.	每次安装Burp时都会生成自己的CA证书，并在Prokisilisner建立TLS连接时使用。此证书可以导入和导出，并且可以用于安装在其他工具或其他机器上的Burp。
ECB block shuffler	ECB块洗牌
Edit	编辑
Edit "skip parameter" rule	编辑"跳过参数"规则
Edit and resend	编辑并重新发送
Edit API key	编辑API密钥
Edit application login configuration	编辑应用程序登录设置
Edit audit scan	编辑审计扫描
Edit auditing configuration	编辑审计设置
Edit cookie	编辑Cookie
Edit crawl and audit scan	编辑爬行和审计扫描
Edit crawl scan	编辑爬行扫描
Edit crawling configuration	编辑爬行设置
Edit detection methods	编辑检测方法
Edit form field completion rule	编辑表单字段完成规则
Edit group	编辑组
Edit hostname resolution rule	编辑主机名解析规则
Edit hotkey	编辑热键
Edit hotkeys	编辑热键
Edit list	编辑列表
Edit live audit task	编辑实时审计任务
Edit live passive crawl task	编辑实时被动爬行任务
Edit live passive crawling configuration	编辑实时被动爬行设置
Edit Login Credentials	编辑登录凭证信息
Edit match/replace rule	编辑搜索/替换规则
Edit payload processing rule	编辑有效载荷处理规则
Edit platform authentication credentials	编辑平台认证凭证
Edit prefix for in-scope URLs	编辑范围内URL的前缀
Edit prefix for out-of-scope URLs	编辑范围外URL的前缀
Edit proxy listener	编辑代理监听
Edit request header	编辑请求标头
Edit request interception rule	编辑请求拦截规则
Edit resource pool	编辑资源池
Edit response interception rule	编辑响应拦截规则
Edit scanning configuration	编辑扫描设置
Edit SSL passthrough target	编辑SSL传递目标
Edit streaming URL	编辑流媒体URL
Edit streaming URL prefix	编辑流媒体URL的前缀
Edit target	编辑目标
Edit the selected cookie	编辑所选cookie
Edit the selected custom parameter location	编辑自定义参数位置
Edit the selected header	编辑所选标头
Edit the selected item	编辑所选项目
Edit the selected listener	编辑所选监听
Edit the selected macro	编辑选定的宏
Edit the selected parameter	编辑所选参数
Edit the selected rule	编辑所选规则
Edit the selected task	编辑所选任务
Edit TLS passthrough target	编辑TLS传递目标
Edit upstream proxy rule	编辑上游代理的规则
Edit URL to exclude from scope	编辑要从范围中排除的URL
Edit URL to include in scope	编辑包含在范围中的URL
Edited	编辑
Edited message	编辑消息
Edited request	编辑请求
Edited response	编辑响应
Effective Entropy	有效熵
Email addresses disclosed(\s+\[[0-9]+\])?	邮件地址泄漏$1
Embed images within HTML (requires modern browser)	在HTML中嵌入图像 (需要现代浏览器)
Embedded Browser	内置浏览器
Embedded Browser Health Check	内置浏览器健康检查
Embedded browser health check	内置浏览器健康检查
Embedded Browser Options	内置浏览器选项
Empty cookie jar	清空cookie jar
Enable	启用
Enable algorithms blocked by Java security policy (requires restart)	启用Java安全策略中阻塞的算法(要重新启动)
Enable auto-updates (requires restart)	启用自动更新(要重新启动)
Enable automatic project backup	启用自动项目备份
Enable disabled form fields	启用禁用的表单字段
Enable embedded browser sandbox	启用内置浏览器的沙箱
Enable embedded browser sandbox (Windows only)	启用内置浏览器的沙箱(仅限Windows)
Enable HTTP/1 connection reuse	启用HTTP/1连接重用
Enable HTTP/2	启用HTTP/2
Enable HTTP/2 (Experimental)	启用HTTP/2(实验性)
Enable HTTP/2 connection reuse	重新利用HTTP/2连接
Enable interception	启用拦截功能
Enable interception at startup:	启动时启用拦截:
Enable line wrap	启用换行
Enable line wrapping	换行
Enable logging	启用日志
Enabled	启用
Encode	编码
Encode as ...	编码 ...
Encode as ASCII hex	编码为ASCII十六进制数
Encoded as ASCII hex	编码为ASCII十六进制数
Encrypted data to shuffle:	加密数据洗牌:
End	结束
End at delimiter:	以分隔符结束:
End at fixed length:	以固定长度结束:
End response timer	响应结束时间
End time	结束时间
Enforce protocol choice on cross-domain redirections	通过重定向跨域强制协议选择
Engagement tools	参与互动工具
Engagement tools [Pro version only]	参与互动工具 [仅限专业版]
Enter a comment	输入注释
Enter a new item	输入新项目
Enter license key	请输入许可证密钥
Enter master password	请输入主密码
Enter number of bytes to insert	请输入要插入的字节数
Enter number of cells to delete	请输入要删除的单元格数量
Enter number of cells to insert	请输入要插入的单元格数量
Enter password	输入密码
Enter regex or leave blank	用正则表达式输入或保持空白
Enter regex, IP range or leave blank	输入正则表达式或IP范围，或保持空白
Enter the details of the parameter.	请输入参数的详细信息。
Enter the details of the payload processing rule.	请输入有效载荷处理规则的详细信息。
Enter the details of the upstream proxy rule. You can use wildcards to specify destination hosts (* matches zero or more characters, ? matches any character except a dot). Leave the proxy host blank to connect directly for the specified destination host.	请输入上游代理的详细信息。通配符指定目标主机(*为0个字符或更多字符，？可以与点以外的任何字符匹配)。要直接连接到指定的主机，请将代理主机保持为空白。
Enter the details of when the task should run. The task can be scheduled to run once at a specific time, or to repeat at a defined interval.	请输入执行任务时间表的详细时间。任务可以在指定的时间执行一次，或者以指定的间隔重复执行。
Enter the full string to be submitted as the custom request header.	请输入要作为自定义请求标头发送的所有字符串。
Enter the hostname and IP address. Burp will use this setting instead of the DNS resolution provided by your computer.	请输入主机名和IP地址。使用此设置而不是计算机DNS名称解析。
Enter the master password that was used to encrypt stored passwords.	输入用于加密密码存储的主密码。
Enter the master password to encrypt stored passwords. A strong password is recommended.	输入加密密码存储的主密码。推荐强大的密码。
Enter the PIN code for your hardware token or smart card.	请输入硬件令牌或智能卡的PIN码。
Enter the platform credentials for the specified destination host.	输入目标主机的平台凭证。
Entire body	整个主体
Entire body (for relevant content types)	整个主体(对于相关内容类型)
Error	错误
Error destination multiplier:	错误目标乘数:
Error handling	错误处理
Error Handling	错误处理
Error messages	错误消息
Error reason	错误原因
Error-based	基于错误
Errors	错误
Errors:	错误:
Estimated encodings:	预计的编码数量:
Estimated system impact	估计的系统影响
Estimated system impact:	估计的系统影响:
Event detail	事件详情
Event log	事件日志
Events	事件
Everything	全部
Exact	完全一致
Example	示例
Example:	示例:
Examples	示例
Examples:	示例:
Except for:	排除从:
Exclude form field values	排除表单字段值
Exclude from scope	从范围中排除
Exclude headers	排除标头
Exclude HTTP headers	排除HTTP标头
Excluded URL prefixes	排除URL前缀
Excluded URLs	排除URL
Exit	退出
Exit Burp	Burp退出
Expand	展开
Expand all	全部展开
Expand branch	展开分支
Expand requested items	展开所请求的项目
Expand the areas that you want to define in this configuration.	展开此设置中定义的范围
Expires	有效期限
Export	导出
Export as CSV	导出为CSV
Export comments	导出注释
Export configuration	导出设置
Export configurations	导出设置
Export Options	导出选项
Export scripts	导出脚本
Expression	表达式
Expression Language injection(\s+\[[0-9]+\])?	表达式语言注入$1
Extender	扩展器
Extension	扩展
Extension action handler:	扩展操作处理程序:
Extension details	扩展细节
Extension Details	扩展详细
Extension file \(\.(jar|py|rb)\):	扩展文件(.$1):
Extension file:	扩展文件:
Extension generated issue(\s+\[[0-9]+\])?	扩展生成的问题$1
Extension loaded	扩展已加载
Extension payload generator:	扩展有效载荷生成:
Extension type:	扩展类型:
Extension-generated	基于扩展功能生成
Extensions	扩展
Extensions - long	扩展名 - 长
Extensions - short	扩展名 - 短
